iter	Logloss
212	0.3587017458
213	0.3584632025
214	0.3580132063
215	0.35787658
216	0.3576764195
217	0.3571906138
218	0.3570421699
219	0.3568953217
220	0.3566054903
221	0.3564702285
222	0.3561783997
223	0.3556421128
224	0.3554820878
225	0.3550924343
226	0.3549193716
227	0.3547073638
228	0.3546074999
229	0.3543995856
230	0.3542739283
231	0.3540305282
232	0.3538412368
233	0.3535865933
234	0.3533665898
235	0.3531229229
236	0.3526757805
237	0.3525317402
238	0.3522622125
239	0.3520255182
240	0.3517574774
241	0.3516548854
242	0.3514356011
243	0.351199969
244	0.3509367134
245	0.3506694074
246	0.3505574101
247	0.3502924176
248	0.3500460518
249	0.3498619579
250	0.3495612839
251	0.3492822551
252	0.3491552842
253	0.3489339782
254	0.3487939189
255	0.3485531505
256	0.3483698084
257	0.3481564855
258	0.347857157
259	0.3476607271
260	0.3473617606
261	0.3472280667
262	0.3470366957
263	0.3466804863
264	0.346487433
265	0.3462545583
266	0.3461427499
267	0.3458983613
268	0.3455148042
269	0.3454141492
270	0.3452028715
271	0.3449420967
272	0.3444098656
273	0.3443429125
274	0.3440493086
275	0.3434619074
276	0.3432238114
277	0.3429748735
278	0.3427795442
279	0.3425637696
280	0.3423686712
281	0.3420821695
282	0.3418172468
283	0.3416140555
284	0.3413817956
285	0.3412314874
286	0.3409053351
287	0.3406579074
288	0.3403609872
289	0.340237284
290	0.340026164
291	0.3398250513
292	0.3395307768
293	0.3391625965
294	0.3389355049
295	0.3387980324
296	0.3385180513
297	0.3382638115
298	0.3378869954
299	0.3377172292
300	0.337423546
301	0.3370222129
302	0.3368577788
303	0.3366999139
304	0.3363988119
305	0.3361216861
306	0.3358689819
307	0.3355050501
308	0.3353958803
309	0.3352085849
310	0.3350480981
311	0.3345032667
312	0.3342502483
313	0.3337376169
314	0.3334618474
315	0.333257193
316	0.3329014112
317	0.3326592386
318	0.3325813029
319	0.3322626518
320	0.3319781327
321	0.3316075791
322	0.3312893276
323	0.3307914938
324	0.3305964225
325	0.3303540218
326	0.3300887886
327	0.3298126307
328	0.3296674345
329	0.3293230056
330	0.3290673211
331	0.3288188012
332	0.3285147269
333	0.3282120006
334	0.3280670872
335	0.3278835133
336	0.3277065213
337	0.3275198156
338	0.3273281391
339	0.3269028834
340	0.3266259585
341	0.3264638258
342	0.3261666301
343	0.3260141852
344	0.3255948042
345	0.3252982567
346	0.3250111021
347	0.3246731601
348	0.3244000626
349	0.324031681
350	0.3239060014
351	0.3235032114
352	0.3233905911
353	0.3232078173
354	0.322891939
355	0.3226763313
356	0.3225010245
357	0.322269349
358	0.3220748606
359	0.3218515031
360	0.3215679052
361	0.3212881825
362	0.3208680693
363	0.3207680638
364	0.3202868864
365	0.320093359
366	0.3198941313
367	0.3196256706
368	0.3193671847
369	0.3191224264
370	0.3188409748
371	0.3184321872
372	0.3181244334
373	0.3177799242
374	0.3175508387
375	0.3171233835
376	0.3168762657
377	0.3167301682
378	0.3165148428
379	0.3163546196
380	0.3160928137
381	0.3159500636
382	0.3157449883
383	0.3154886284
384	0.3151405152
385	0.3147994497
386	0.314581296
387	0.3142842236
388	0.314054576
389	0.3137153423
390	0.313495016
391	0.3132954214
392	0.3127399111
393	0.312374165
394	0.3119795607
395	0.3115827493
396	0.3110770799
397	0.3109210965
398	0.3107470803
399	0.3105370078
